北京	4245.0
长城	2687.0
中国	1936.0
东西	896.0
香山	834.0
美	728.0
午门	468.0
美丽	464.0
天安门	427.0
颐和园	296.0
九龙壁	277.0
城市	240.0
八达岭	233.0
天安门广场	225.0
北京市	190.0
北京城	182.0
上山	166.0
潭柘寺	162.0
中山公园	149.0
湖	149.0
三里屯	148.0
下山	146.0
八达岭长城	137.0
大街	135.0
北京故宫	133.0
前门大街	124.0
沧桑	118.0
新鲜	113.0
人山人海	108.0
京城	105.0
海洋	103.0
昆明湖	101.0
长安街	101.0
司马台长城	96.0
什刹海	92.0
入口	92.0
古典	92.0
湖水	91.0
外国	90.0
登山	88.0
太阳	87.0
万里长城	85.0
北京植物园	80.0
满山	79.0
香	75.0
朝阳	74.0
山水	72.0
神圣	66.0
馆内	65.0
台湾	63.0
西山	62.0
东门	61.0
北京动物园	61.0
故宫博物院	60.0
樱桃沟	60.0
长大	60.0
北	58.0
南门	58.0
正阳门	58.0
西门	57.0
亚洲	53.0
北门	53.0
南	53.0
海淀	53.0
密云	51.0
首都博物馆	51.0
延庆	47.0
东直门	46.0
夕阳	44.0
南北	43.0
天安门城楼	43.0
江南	43.0
上海	42.0
南园	42.0
居庸关	42.0
日本	41.0
港湾	41.0
香港	41.0
高山	41.0
欧洲	40.0
琉璃瓦	40.0
北海公园	39.0
卧佛寺	39.0
古北口	39.0
北海	38.0
定陵	38.0
灵山	38.0
都市	38.0
京郊	37.0
凤凰岭	37.0
南站	37.0
雾灵山	37.0
太美	36.0
慕田峪长城	36.0
龙潭	36.0
新建	35.0
英雄	35.0
北园	34.0
密云水库	34.0
山峰	34.0
东城区	33.0
太庙	33.0
沧桑感	33.0
馆藏	33.0
牡丹	32.0
东安市场	30.0
云集	30.0
天津	30.0
燕京	30.0
青山	30.0
华联	29.0
天坛公园	29.0
西直门	29.0
东	28.0
入园	28.0
景山	28.0
河北	28.0
海淀区	28.0
通州	28.0
后山	27.0
大都	27.0
好汉坡	27.0
山脚	27.0
建国	27.0
很美	27.0
戒台寺	27.0
河	27.0
西城区	27.0
龙潭湖	27.0
天池	26.0
德胜门	26.0
石桥	26.0
美国	26.0
北京郊区	25.0
商城	25.0
坤宁宫	25.0
天桥	25.0
荷塘	25.0
蟒山	25.0
中关村	24.0
京西	24.0
太累	24.0
望京	24.0
清华园	24.0
黑龙潭	24.0
永乐	23.0
法国	23.0
珍藏	23.0
西湖	23.0
非洲	23.0
云蒙山	22.0
京	22.0
北区	22.0
古城	22.0
古寺	22.0
塔林	22.0
太冷	22.0
朝	22.0
泉水	22.0
满园	22.0
礼拜	22.0
韩国	22.0
攀岩	21.0
日坛公园	21.0
潇湘	21.0
玉渊潭公园	21.0
美感	21.0
花海	21.0
河水	20.0
漫山	20.0
远古	20.0
门头沟区	20.0
馆里	20.0
中华文明	19.0
华夏	19.0
城堡	19.0
夕阳西下	19.0
大坝	19.0
太古	19.0
延庆县	19.0
沿河	19.0
西北	19.0
西站	19.0
青春	19.0
东华门	18.0
中华人民共和国	18.0
古都	18.0
宛平城	18.0
小桥流水	18.0
山区	18.0
山门	18.0
昌平区	18.0
池塘	18.0
漓江	18.0
百花山	18.0
福	18.0
花都	18.0
青山绿水	18.0
中山	17.0
京东	17.0
